Character,Rank,Votes
Monkey D. Luffy,1,9183
Roronoa Zoro,3,7997
Nami,8,2173
Usopp,13,1023
Sanji,4,7154
Tony Tony Chopper,7,3336
Nico Robin,11,1253
Franky,16,711
Brook,19,553
Jinbe,35,0
TOTAL,367,69472
