Character,Rank,Votes
Monkey D. Luffy,1,11737
Roronoa Zoro,2,10442
Nami,8,3269
Usopp,15,1409
Sanji,3,10215
Tony Tony Chopper,7,3301
Nico Robin,12,1952
Franky,20,861
Brook,19,936
Jinbe,6,3884
TOTAL,367,80000
