Character,Rank,Votes
Monkey D. Luffy,1,7065
Roronoa Zoro,2,5645
Nami,6,1958
Usopp,11,1034
Sanji,3,5547
Tony Tony Chopper,4,3362
Nico Robin,7,1944
Franky,13,715
Brook,9,1307
Jinbe,110,0
TOTAL,367,42116
