Character,Rank,Votes,Pool year,Total nomber of votes
Mohji,,,2021,12000000
Johnny,024,,1999,36000
Johnny,018,216,2002,51873
Johnny,087,,2006,50804
Johnny,122,,2009,42116
Johnny,,,2015,69472
Johnny,,,2017,80000
Johnny,,,2021,12000000
Cabaji,025,,1999,36000
Cabaji,,,2002,51873
Cabaji,,,2006,50804
Cabaji,,,2009,42116
Cabaji,,,2015,69472
Cabaji,,,2017,80000
Cabaji,,,2021,12000000
Yasopp,026,,1999,36000
Yasopp,,,2002,51873
Yasopp,073,,2006,50804
Yasopp,110,,2009,42116
Yasopp,,,2015,69472
Yasopp,,,2017,80000
Yasopp,,,2021,12000000
Patty,027,,1999,36000
Patty,,,2002,51873
Patty,,,2006,50804
Patty,,,2009,42116
Patty,,,2015,69472
Patty,,,2017,80000
Patty,,,2021,12000000
Yosaku,028,,1999,36000
Yosaku,,,2002,51873
Yosaku,087,,2006,50804
Yosaku,122,,2009,42116
Yosaku,,,2015,69472
Yosaku,,,2017,80000
Yosaku,,,2021,12000000
Piiman,029,,1999,36000
Piiman,,,2002,51873
Piiman,,,2006,50804
Piiman,,,2009,42116
Piiman,,,2015,69472
Piiman,,,2017,80000
Piiman,,,2021,12000000
Boodle,030,,1999,36000
Boodle,,,2002,51873
Boodle,066,,2006,50804
Boodle,,,2009,42116
Boodle,,,2015,69472
Boodle,,,2017,80000
Boodle,,,2021,12000000
Lord of the Coast,031,,1999,36000
Lord of the Coast,,,2002,51873
Lord of the Coast,,,2006,50804
Lord of the Coast,,,2009,42116
Lord of the Coast,,,2015,69472
Lord of the Coast,,,2017,80000
Lord of the Coast,154,,2021,12000000
Panda,032,,1999,36000
Panda,,,2002,51873
Panda,,,2006,50804
Panda,,,2009,42116
Panda,,,2015,69472
Panda,,,2017,80000
Panda,,,2021,12000000
Rabbit Snake,033,,1999,36000
Rabbit Snake,,,2002,51873
Rabbit Snake,,,2006,50804
Rabbit Snake,,,2009,42116
Rabbit Snake,,,2015,69472
Rabbit Snake,,,2017,80000
Rabbit Snake,,,2021,12000000
Pig Lion,033,,1999,36000
Pig Lion,,,2002,51873
Pig Lion,,,2006,50804
Pig Lion,,,2009,42116
Pig Lion,,,2015,69472
Pig Lion,,,2017,80000
Pig Lion,,,2021,12000000
Rika,035,,1999,36000
Rika,,,2002,51873
Rika,,,2006,50804
Rika,,,2009,42116
Rika,,,2015,69472
Rika,081,,2017,80000
Rika,,,2021,12000000
Ganzack,035,,1999,36000
Ganzack,,,2002,51873
Ganzack,,,2006,50804
Ganzack,,,2009,42116
Ganzack,,,2015,69472
Ganzack,,,2017,80000
Ganzack,,,2021,12000000
Marine Captain,035,,1999,36000
Marine Captain,,,2002,51873
Marine Captain,,,2006,50804
Marine Captain,,,2009,42116
Marine Captain,,,2015,69472
Marine Captain,,,2017,80000
Marine Captain,,,2021,12000000
Portgas D. Ace,,,1999,36000
Portgas D. Ace,008,1735,2002,51873
Portgas D. Ace,010,827,2006,50804
Portgas D. Ace,005,2175,2009,42116
Portgas D. Ace,006,5121,2015,69472
Portgas D. Ace,005,4605,2017,80000
Portgas D. Ace,009,355503,2021,12000000
Mr. 2 Bon Kurei,,,1999,36000
Mr. 2 Bon Kurei,009,811,2002,51873
Mr. 2 Bon Kurei,021,368,2006,50804
Mr. 2 Bon Kurei,023,217,2009,42116
Mr. 2 Bon Kurei,020,531,2015,69472
Mr. 2 Bon Kurei,025,,2017,80000
Mr. 2 Bon Kurei,022,88082,2021,12000000
Nefertari Vivi,,,1999,36000
Nefertari Vivi,010,748,2002,51873
Nefertari Vivi,015,529,2006,50804
Nefertari Vivi,014,483,2009,42116
Nefertari Vivi,024,,2015,69472
Nefertari Vivi,024,,2017,80000
Nefertari Vivi,021,90645,2021,12000000
Smoker,,,1999,36000
Smoker,012,720,2002,51873
Smoker,014,572,2006,50804
Smoker,020,262,2009,42116
Smoker,024,,2015,69472
Smoker,033,,2017,80000
Smoker,027,66962,2021,12000000
Tashigi,,,1999,36000
Tashigi,014,476,2002,51873
Tashigi,020,380,2006,50804
Tashigi,042,110,2009,42116
Tashigi,064,,2015,69472
Tashigi,033,,2017,80000
Tashigi,038,34582,2021,12000000
Crocodile,,,1999,36000
Crocodile,015,307,2002,51873
Crocodile,025,277,2006,50804
Crocodile,028,189,2009,42116
Crocodile,015,737,2015,69472
Crocodile,018,1050,2017,80000
Crocodile,017,109837,2021,12000000
Koza,,,1999,36000
Koza,016,288,2002,51873
Koza,052,,2006,50804
Koza,100,,2009,42116
Koza,095,,2015,69472
Koza,,,2017,80000
Koza,182,,2021,12000000
Pandaman,,,1999,36000
Pandaman,019,215,2002,51873
Pandaman,031,149,2006,50804
Pandaman,039,119,2009,42116
Pandaman,,,2015,69472
Pandaman,051,,2017,80000
Pandaman,097,8017,2021,12000000
Pell,,,1999,36000
Pell,021,173,2002,51873
Pell,027,200,2006,50804
Pell,027,193,2009,42116
Pell,043,,2015,69472
Pell,057,,2017,80000
Pell,051,19467,2021,12000000
Karoo,,,1999,36000
Karoo,022,170,2002,51873
Karoo,047,50,2006,50804
Karoo,053,60,2009,42116
Karoo,063,,2015,69472
Karoo,055,,2017,80000
Karoo,075,12127,2021,12000000
Eiichiro Oda,,,1999,36000
Eiichiro Oda,025,97,2002,51873
Eiichiro Oda,048,58,2006,50804
Eiichiro Oda,031,174,2009,42116
Eiichiro Oda,050,,2015,69472
Eiichiro Oda,040,,2017,80000
Eiichiro Oda,,,2021,12000000
Dr. Kureha,,,1999,36000
Dr. Kureha,026,95,2002,51873
Dr. Kureha,034,128,2006,50804
Dr. Kureha,054,55,2009,42116
Dr. Kureha,120,,2015,69472
Dr. Kureha,140,,2017,80000
Dr. Kureha,125,,2021,12000000
Mr. 9,,,1999,36000
Mr. 9,027,81,2002,51873
Mr. 9,042,66,2006,50804
Mr. 9,122,,2009,42116
Mr. 9,105,,2015,69472
Mr. 9,,,2017,80000
Mr. 9,,,2021,12000000
Kung-Fu Dugongs,,,1999,36000
Kung-Fu Dugongs,027,81,2002,51873
Kung-Fu Dugongs,051,,2006,50804
Kung-Fu Dugongs,088,5,2009,42116
Kung-Fu Dugongs,,,2015,69472
Kung-Fu Dugongs,086,,2017,80000
Kung-Fu Dugongs,089,9655,2021,12000000
Dr. Hiriluk,,,1999,36000
Dr. Hiriluk,030,69,2002,51873
Dr. Hiriluk,039,81,2006,50804
Dr. Hiriluk,026,196,2009,42116
Dr. Hiriluk,073,,2015,69472
Dr. Hiriluk,076,,2017,80000
Dr. Hiriluk,067,13500,2021,12000000
Fullbody,,,1999,36000
Fullbody,033,56,2002,51873
Fullbody,,,2006,50804
Fullbody,122,,2009,42116
Fullbody,,,2015,69472
Fullbody,,,2017,80000
Fullbody,,,2021,12000000
Laboon,,,1999,36000
Laboon,034,47,2002,51873
Laboon,074,,2006,50804
Laboon,032,161,2009,42116
Laboon,137,,2015,69472
Laboon,100,,2017,80000
Laboon,109,,2021,12000000
Negikuma Maria,,,1999,36000
Negikuma Maria,035,45,2002,51873
Negikuma Maria,062,,2006,50804
Negikuma Maria,122,,2009,42116
Negikuma Maria,,,2015,69472
Negikuma Maria,,,2017,80000
Negikuma Maria,,,2021,12000000
Miss Goldenweek,,,1999,36000
Miss Goldenweek,035,45,2002,51873
Miss Goldenweek,070,,2006,50804
Miss Goldenweek,,,2009,42116
Miss Goldenweek,109,,2015,69472
Miss Goldenweek,155,,2017,80000
Miss Goldenweek,162,,2021,12000000
Bell-mère,,,1999,36000
Bell-mère,037,41,2002,51873
Bell-mère,032,144,2006,50804
Bell-mère,040,115,2009,42116
Bell-mère,081,,2015,69472
Bell-mère,077,,2017,80000
Bell-mère,081,10704,2021,12000000
Miss Valentine,,,1999,36000
Miss Valentine,038,38,2002,51873
Miss Valentine,071,,2006,50804
Miss Valentine,093,,2009,42116
Miss Valentine,076,,2015,69472
Miss Valentine,086,,2017,80000
Miss Valentine,108,,2021,12000000
Mr. 1,,,1999,36000
Mr. 1,038,38,2002,51873
Mr. 1,099,,2006,50804
Mr. 1,,,2009,42116
Mr. 1,,,2015,69472
Mr. 1,134,,2017,80000
Mr. 1,121,,2021,12000000
Minatomo,,,1999,36000
Minatomo,041,,2002,51873
Minatomo,,,2006,50804
Minatomo,,,2009,42116
Minatomo,,,2015,69472
Minatomo,,,2017,80000
Minatomo,,,2021,12000000
Sogeking,,,1999,36000
Sogeking,,,2002,51873
Sogeking,006,2621,2006,50804
Sogeking,030,182,2009,42116
Sogeking,,,2015,69472
Sogeking,,,2017,80000
Sogeking,,,2021,12000000
Kaku,,,1999,36000
Kaku,,,2002,51873
Kaku,009,1044,2006,50804
Kaku,016,294,2009,42116
Kaku,045,,2015,69472
Kaku,070,,2017,80000
Kaku,077,11909,2021,12000000
Rob Lucci,,,1999,36000
Rob Lucci,,,2002,51873
Rob Lucci,012,647,2006,50804
Rob Lucci,019,266,2009,42116
Rob Lucci,041,,2015,69472
Rob Lucci,043,,2017,80000
Rob Lucci,043,24726,2021,12000000
Aokiji,,,1999,36000
Aokiji,,,2002,51873
Aokiji,016,483,2006,50804
Aokiji,017,280,2009,42116
Aokiji,022,,2015,69472
Aokiji,026,,2017,80000
Aokiji,036,38127,2021,12000000
Jabra,,,1999,36000
Jabra,,,2002,51873
Jabra,017,461,2006,50804
Jabra,071,10,2009,42116
Jabra,109,,2015,69472
Jabra,129,,2017,80000
Jabra,135,,2021,12000000
Paulie,,,1999,36000
Paulie,,,2002,51873
Paulie,018,460,2006,50804
Paulie,049,87,2009,42116
Paulie,059,,2015,69472
Paulie,100,,2017,80000
Paulie,069,13344,2021,12000000
Iceburg,,,1999,36000
Iceburg,,,2002,51873
Iceburg,019,401,2006,50804
Iceburg,060,28,2009,42116
Iceburg,109,,2015,69472
Iceburg,,,2017,80000
Iceburg,107,,2021,12000000
Enel,,,1999,36000
Enel,,,2002,51873
Enel,022,351,2006,50804
Enel,022,224,2009,42116
Enel,048,,2015,69472
Enel,044,,2017,80000
Enel,035,39144,2021,12000000
Kalifa,,,1999,36000
Kalifa,,,2002,51873
Kalifa,023,346,2006,50804
Kalifa,078,7,2009,42116
Kalifa,137,,2015,69472
Kalifa,062,,2017,80000
Kalifa,118,,2021,12000000
Fukurou,,,1999,36000
Fukurou,,,2002,51873
Fukurou,026,252,2006,50804
Fukurou,078,7,2009,42116
Fukurou,,,2015,69472
Fukurou,,,2017,80000
Fukurou,,,2021,12000000
Spandam,,,1999,36000
Spandam,,,2002,51873
Spandam,028,178,2006,50804
Spandam,064,22,2009,42116
Spandam,076,,2015,69472
Spandam,086,,2017,80000
Spandam,163,,2021,12000000
Gedatsu,,,1999,36000
Gedatsu,,,2002,51873
Gedatsu,035,120,2006,50804
