Character,Rank,Votes
Monkey D. Luffy,1,8055
Roronoa Zoro,2,7260
Nami,5,4213
Usopp,8,781
Sanji,4,4300
Tony Tony Chopper,0,0
Nico Robin,0,0
Franky,0,0
Brook,0,0
Jinbe,0,0
TOTAL,367,36000
