Character,Rank,Votes
Monkey D. Luffy,1,12844
Roronoa Zoro,2,8225
Nami,7,1983
Usopp,6,2621
Sanji,3,6235
Tony Tony Chopper,4,2725
Nico Robin,5,2644
Franky,13,600
Brook,0,0
Jinbe,0,0
TOTAL,367,50804
