Character,Rank,Votes
Monkey D. Luffy,1,11136
Roronoa Zoro,2,10982
Nami,5,2360
Usopp,6,1957
Sanji,3,9676
Tony Tony Chopper,4,4428
Nico Robin,11,722
Franky,0,0
Brook,0,0
Jinbe,0,0
TOTAL,367,51873
